"id","variety","fermtype","region","district","altitude","year","humidity","rain","temp_max","temp_min","temp_avg","cyanidol3G","delphinidol3G","peonidol3G","petunidol3G","malvidol3G","weather"
1,"OFTHALMO","Z","MALLIA","Limassol",647,"2015",58,578.9,24.7,12.2,18.5,3.946,2.444,52.681,12.162,169.721,-1.4442623702119
2,"OFTHALMO","XZ","MALLIA","Limassol",647,"2015",58,578.9,24.7,12.2,18.5,3.358,2.224,50.325,12.22,164.525,-1.4442623702119
3,"OFTHALMO","Z","VP","Paphos",837,"2015",63,609.8,21.3,12.7,17,3.503,2.596,51.165,12.248,156.732,0.029499667271451
4,"OFTHALMO","XZ","VP","Paphos",837,"2015",63,609.8,21.3,12.7,17,3.573,2.786,51.082,12.265,155.736,0.029499667271451
5,"OFTHALMO","Z","LAONA","Limassol",793,"2015",68,774.1,21.8,11.4,16.6,3.48,2.46,50.306,12.134,142.038,1.14253601607535
6,"OFTHALMO","XZ","LAONA","Limassol",793,"2015",68,774.1,21.8,11.4,16.6,3.514,2.367,50.41,12.195,138.422,1.14253601607535
7,"OFTHALMO","Z","LAONA","Limassol",793,"2014",68,567.7,22.2,11.7,17,3.542,2.272,50.471,12.251,146.528,0.606781542736114
8,"OFTHALMO","XZ","LAONA","Limassol",793,"2014",68,567.7,22.2,11.7,17,3.344,2.025,50.131,12.05,142.234,0.606781542736114
9,"OFTHALMO","Z","VP","Paphos",837,"2014",63,578.8,21,13.1,17.1,3.989,2.097,50.247,12.11,158.4,-0.0717434564444277
10,"OFTHALMO","XZ","VP","Paphos",837,"2014",63,578.8,21,13.1,17.1,3.709,2.197,50.329,12.33,156.938,-0.0717434564444277
11,"OFTHALMO","Z","MALLIA","Limassol",647,"2014",57,486.5,24.4,12.4,18.4,3.344,2.028,49.335,12.335,164.203,-1.66769504395146
12,"OFTHALMO","XZ","MALLIA","Limassol",647,"2014",57,486.5,24.4,12.4,18.4,3.659,2.099,48.586,12.32,165.32,-1.66769504395146
13,"OFTHALMO","Z","VP","Paphos",837,"2013",57,444.4,21.2,13.3,17.3,3.438,2.166,48.681,12.185,148.126,-1.16206165339296
14,"OFTHALMO","XZ","VP","Paphos",837,"2013",57,444.4,21.2,13.3,17.3,3.694,2.15,48.649,12.21,144.825,-1.16206165339296
